depth,Att0,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,Att34,Att35
26.3069,1.344234,1.109723,0.994491,0.929191,0.892352,0.973156,0.927851,0.887844,1.004516,0.848223,0.813109,0.960182,0.343148,3.210542,3.078112,0.95926,0.972113,2.357453,2.362453,3.065384,2.773439,3.031018,-5.615839,3.146149,3.219165,2.707661,2.707577,0.524442,3.331762,1.948651,2.868599,0.807611,2.450608,2.291713,1.200773,1.033658
26.345,1.025599,1.001202,0.752523,0.718973,0.725292,0.751132,0.835631,0.651475,0.976857,1.035943,0.210598,0.884928,2.679448,3.546896,2.471783,3.011231,2.651135,2.932847,2.013423,3.996871,3.202821,2.427303,0.348371,3.080304,3.640237,1.449649,2.751441,2.834959,2.959992,3.184907,3.531324,2.494152,3.197509,2.574872,1.465452,1.652375
26.3831,1.025599,1.001202,0.752523,0.718973,0.725292,0.751132,0.835631,0.651475,0.976857,1.035943,0.210598,0.884928,2.679448,3.546896,2.471783,3.011231,2.651135,2.932847,2.013423,3.996871,3.202821,2.427303,0.348371,3.080304,3.640237,1.449649,2.751441,2.834959,2.959992,3.184907,3.531324,2.494152,3.197509,2.574872,1.465452,1.652375
26.4212,1.212395,1.097814,0.872726,0.838791,0.793624,0.842718,0.824612,0.893529,1.036293,1.56728,0.945511,1.276651,1.353472,2.824069,1.023568,2.412178,3.274026,3.144624,3.018388,2.956222,3.02301,2.267672,2.694638,0.720411,2.637118,3.271248,2.845686,2.12071,3.440584,0.413436,3.095264,2.851772,2.288927,0.644692,1.190992,1.497047
26.4593,1.212395,1.097814,0.872726,0.838791,0.793624,0.842718,0.824612,0.893529,1.036293,1.56728,0.945511,1.276651,1.353472,2.824069,1.023568,2.412178,3.274026,3.144624,3.018388,2.956222,3.02301,2.267672,2.694638,0.720411,2.637118,3.271248,2.845686,2.12071,3.440584,0.413436,3.095264,2.851772,2.288927,0.644692,1.190992,1.497047
26.4974,1.051878,0.858406,0.919262,0.90653,0.848801,0.830386,0.754615,0.747041,0.910595,0.249852,0.956875,0.751655,1.915644,0.383837,2.827502,2.332516,3.248559,0.500718,2.361117,1.478161,2.746721,0.728685,2.288615,0.517995,2.394509,1.090537,2.682096,2.654475,2.758503,1.784401,2.81479,2.435607,2.348654,1.807073,0.875724,1.296922
26.5355,1.051878,0.858406,0.919262,0.90653,0.848801,0.830386,0.754615,0.747041,0.910595,0.249852,0.956875,0.751655,1.915644,0.383837,2.827502,2.332516,3.248559,0.500718,2.361117,1.478161,2.746721,0.728685,2.288615,0.517995,2.394509,1.090537,2.682096,2.654475,2.758503,1.784401,2.81479,2.435607,2.348654,1.807073,0.875724,1.296922
26.5736,1.318821,1.168286,1.085964,0.914719,0.833523,0.83941,0.855437,0.955962,0.458511,0.972027,0.662657,1.196115,0.990976,2.443845,1.1168,2.2392,0.457566,2.998489,3.163021,2.235116,2.834575,0.733754,3.162143,0.584877,2.842799,2.665123,3.250241,2.418776,3.068827,2.944664,2.712435,2.448983,2.89333,1.654497,1.114447,1.47781
26.6117,1.337913,1.16265,1.111468,0.998981,0.932837,0.921434,0.898902,0.911598,0.4646,1.190074,1.128769,1.342827,1.15937,2.944566,3.154276,2.118747,1.625095,3.026062,2.19583,0.705128,2.238904,1.870206,2.022508,0.923139,2.567096,3.477098,2.727934,0.46481,2.690971,2.113055,3.058576,0.592649,1.436896,1.962711,2.330305,0.865376
26.6498,1.337913,1.16265,1.111468,0.998981,0.932837,0.921434,0.898902,0.911598,0.4646,1.190074,1.128769,1.342827,1.15937,2.944566,3.154276,2.118747,1.625095,3.026062,2.19583,0.705128,2.238904,1.870206,2.022508,0.923139,2.567096,3.477098,2.727934,0.46481,2.690971,2.113055,3.058576,0.592649,1.436896,1.962711,2.330305,0.865376
26.6879,2.647109,1.908688,1.704224,1.86286,2.003656,1.836994,2.476635,2.10416,1.970315,2.460732,2.076491,2.733597,2.251437,2.680699,2.473305,2.573975,2.665282,2.931142,3.180342,2.446606,1.381568,2.847298,0.667209,2.900558,3.237867,2.810764,2.457728,1.321109,2.296612,3.160852,2.367885,2.562179,2.589027,2.554591,2.93342,2.682982
26.726,2.647109,1.908688,1.704224,1.86286,2.003656,1.836994,2.476635,2.10416,1.970315,2.460732,2.076491,2.733597,2.251437,2.680699,2.473305,2.573975,2.665282,2.931142,3.180342,2.446606,1.381568,2.847298,0.667209,2.900558,3.237867,2.810764,2.457728,1.321109,2.296612,3.160852,2.367885,2.562179,2.589027,2.554591,2.93342,2.682982
26.7641,3.320519,1.302565,2.459372,2.330403,2.579898,2.555391,1.827809,2.961396,2.013897,0.847051,2.228156,2.679869,2.173742,2.361165,2.571824,2.10936,-0.267022,2.69423,2.553032,1.831515,2.345336,1.896335,2.823001,2.291507,2.553652,2.007401,2.978552,1.886103,2.342003,3.096697,0.498743,1.827198,0.886213,2.216072,1.877432,2.645086
26.8022,3.320519,1.302565,2.459372,2.330403,2.579898,2.555391,1.827809,2.961396,2.013897,0.847051,2.228156,2.679869,2.173742,2.361165,2.571824,2.10936,-0.267022,2.69423,2.553032,1.831515,2.345336,1.896335,2.823001,2.291507,2.553652,2.007401,2.978552,1.886103,2.342003,3.096697,0.498743,1.827198,0.886213,2.216072,1.877432,2.645086
26.8403,3.353503,2.836877,2.831634,2.691765,2.628327,2.448354,2.618573,2.098433,1.993722,2.251708,2.876921,2.619224,2.875821,1.988566,3.180447,2.280803,2.514071,2.116762,2.620636,2.942746,2.04339,2.973543,2.017723,2.098518,2.459362,2.403851,2.603167,0.865511,2.818671,2.508081,2.999971,2.471825,2.197283,2.389049,1.832032,2.963275
